iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0017,3.0,2.0,0.0005,3.0,3.0,0.0002,3.0,2.0
2.0,0.0038,6.0,3.0,0.0015,6.0,4.0,0.001,6.0,3.0
3.0,0.0026,5.0,3.0,0.0011,5.0,3.0,0.0008,5.0,3.0
4.0,0.0029,6.0,3.0,0.0012,6.0,3.0,0.0008,6.0,3.0
5.0,0.0024,4.0,2.0,0.0008,4.0,3.0,0.0005,4.0,2.0
6.0,0.0019,3.0,2.0,0.0007,3.0,2.0,0.0004,3.0,2.0
7.0,0.0023,4.0,3.0,0.001,4.0,3.0,0.0006,4.0,3.0
8.0,0.0041,6.0,3.0,0.0017,6.0,4.0,0.001,6.0,3.0
9.0,0.0034,4.0,2.0,0.0014,4.0,2.0,0.0007,4.0,2.0
10.0,0.0024,3.0,2.0,0.0009,3.0,2.0,0.0004,3.0,2.0
11.0,0.0026,4.0,2.0,0.001,4.0,2.0,0.0006,4.0,2.0
12.0,0.0019,3.0,2.0,0.0006,3.0,3.0,0.0004,3.0,2.0
13.0,0.0012,3.0,2.0,0.0004,3.0,2.0,0.0003,3.0,2.0
14.0,0.0016,4.0,3.0,0.0005,4.0,3.0,0.0004,4.0,3.0
15.0,0.0035,4.0,3.0,0.0016,4.0,3.0,0.0007,4.0,3.0
16.0,0.0019,3.0,2.0,0.0007,3.0,2.0,0.0004,3.0,2.0
17.0,0.0029,7.0,4.0,0.0013,7.0,4.0,0.0008,7.0,4.0
18.0,0.0041,5.0,3.0,0.0017,5.0,3.0,0.0007,5.0,3.0
19.0,0.0021,3.0,2.0,0.0006,3.0,3.0,0.0004,3.0,2.0
20.0,0.0024,3.0,2.0,0.0008,3.0,3.0,0.0004,3.0,2.0
21.0,0.0021,3.0,2.0,0.0008,3.0,2.0,0.0004,3.0,2.0
22.0,0.0024,5.0,3.0,0.0009,5.0,3.0,0.0006,5.0,3.0
23.0,0.0016,4.0,2.0,0.0006,4.0,3.0,0.0003,4.0,2.0
24.0,0.0019,5.0,3.0,0.0007,5.0,3.0,0.0004,5.0,3.0
25.0,0.0012,4.0,2.0,0.0005,4.0,3.0,0.0004,4.0,2.0
26.0,0.0016,3.0,2.0,0.0006,3.0,3.0,0.0003,3.0,2.0
27.0,0.0027,4.0,3.0,0.001,4.0,3.0,0.0004,4.0,3.0
28.0,0.0021,5.0,3.0,0.0009,5.0,3.0,0.0006,5.0,3.0
29.0,0.0021,3.0,2.0,0.0008,3.0,2.0,0.0004,3.0,2.0
30.0,0.0042,6.0,3.0,0.002,6.0,4.0,0.0012,6.0,3.0
31.0,0.0039,5.0,3.0,0.0015,5.0,3.0,0.0007,5.0,3.0
32.0,0.0016,3.0,2.0,0.0007,3.0,2.0,0.0004,3.0,2.0
33.0,0.0022,2.0,2.0,0.0007,2.0,2.0,0.0003,2.0,2.0
