,iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
0,1.0,0.005,3.0,2.0,0.0004,3.0,3.0,0.0003,3.0,2.0
1,2.0,0.0034,6.0,3.0,0.0016,6.0,4.0,0.0009,6.0,3.0
2,3.0,0.0029,5.0,3.0,0.0011,5.0,3.0,0.0008,5.0,3.0
3,4.0,0.0029,6.0,3.0,0.0013,6.0,3.0,0.0008,6.0,3.0
4,5.0,0.0024,4.0,2.0,0.0009,4.0,3.0,0.0005,4.0,2.0
5,6.0,0.0018,3.0,2.0,0.0006,3.0,2.0,0.0004,3.0,2.0
6,7.0,0.0021,4.0,3.0,0.0009,4.0,3.0,0.0006,4.0,3.0
7,8.0,0.0039,6.0,3.0,0.0019,6.0,4.0,0.0012,6.0,3.0
8,9.0,0.0033,4.0,2.0,0.0012,4.0,2.0,0.0006,4.0,2.0
9,10.0,0.0023,3.0,2.0,0.0008,3.0,2.0,0.0005,3.0,2.0
10,11.0,0.0027,4.0,2.0,0.001,4.0,2.0,0.0006,4.0,2.0
11,12.0,0.0019,3.0,2.0,0.0006,3.0,3.0,0.0004,3.0,2.0
12,13.0,0.0012,3.0,2.0,0.0004,3.0,2.0,0.0003,3.0,2.0
13,14.0,0.0016,4.0,3.0,0.0005,4.0,3.0,0.0003,4.0,3.0
14,15.0,0.0037,4.0,3.0,0.0014,4.0,3.0,0.0006,4.0,3.0
15,16.0,0.002,3.0,2.0,0.0007,3.0,2.0,0.0005,3.0,2.0
16,17.0,0.0028,7.0,4.0,0.0013,7.0,4.0,0.0009,7.0,4.0
17,18.0,0.0044,5.0,3.0,0.0017,5.0,3.0,0.0009,5.0,3.0
18,19.0,0.0018,3.0,2.0,0.0006,3.0,3.0,0.0005,3.0,2.0
19,20.0,0.0024,3.0,2.0,0.0009,3.0,3.0,0.0004,3.0,2.0
20,21.0,0.0021,3.0,2.0,0.0008,3.0,2.0,0.0005,3.0,2.0
21,22.0,0.0023,5.0,3.0,0.0009,5.0,3.0,0.0006,5.0,3.0
22,23.0,0.0015,4.0,2.0,0.0006,4.0,3.0,0.0003,4.0,2.0
23,24.0,0.0018,5.0,3.0,0.0006,5.0,3.0,0.0004,5.0,3.0
24,25.0,0.0012,4.0,2.0,0.0005,4.0,3.0,0.0003,4.0,2.0
25,26.0,0.0016,3.0,2.0,0.0006,3.0,3.0,0.0003,3.0,2.0
26,27.0,0.0029,4.0,3.0,0.001,4.0,3.0,0.0004,4.0,3.0
27,28.0,0.002,5.0,3.0,0.0009,5.0,3.0,0.0006,5.0,3.0
28,29.0,0.0021,3.0,2.0,0.0008,3.0,2.0,0.0005,3.0,2.0
29,30.0,0.0064,6.0,3.0,0.0033,6.0,4.0,0.0016,6.0,3.0
30,31.0,0.0045,5.0,3.0,0.0017,5.0,3.0,0.0008,5.0,3.0
31,32.0,0.0022,3.0,2.0,0.0006,3.0,2.0,0.0005,3.0,2.0
32,33.0,0.002,2.0,2.0,0.0007,2.0,2.0,0.0005,2.0,2.0
33,1.0,0.0028,5.0,5.0,0.0011,5.0,5.0,0.0006,5.0,5.0
34,2.0,0.0065,6.0,4.0,0.0025,6.0,5.0,0.0014,6.0,4.0
35,3.0,0.0497,6.0,5.0,0.0038,6.0,6.0,0.0024,6.0,6.0
36,4.0,0.0052,6.0,5.0,0.0021,6.0,5.0,0.0013,6.0,5.0
37,5.0,0.0046,4.0,3.0,0.0018,4.0,4.0,0.001,4.0,3.0
38,6.0,0.0057,6.0,3.0,0.0024,6.0,4.0,0.0012,6.0,4.0
39,7.0,0.0041,6.0,5.0,0.0021,6.0,5.0,0.0014,6.0,6.0
40,8.0,0.0064,6.0,4.0,0.0031,6.0,4.0,0.0017,6.0,6.0
41,9.0,0.0057,5.0,5.0,0.0024,5.0,6.0,0.0016,5.0,5.0
42,10.0,0.0048,4.0,3.0,0.0021,4.0,3.0,0.0011,4.0,5.0
43,11.0,0.0052,4.0,5.0,0.0018,4.0,5.0,0.0011,4.0,5.0
44,12.0,0.0041,3.0,4.0,0.0021,3.0,5.0,0.0009,3.0,4.0
45,13.0,0.0039,3.0,3.0,0.0016,3.0,3.0,0.0009,3.0,3.0
46,14.0,0.0041,4.0,4.0,0.0013,4.0,4.0,0.0007,4.0,5.0
47,15.0,0.0078,5.0,4.0,0.0032,5.0,4.0,0.0016,5.0,4.0
48,16.0,0.0065,5.0,3.0,0.0026,5.0,5.0,0.0012,5.0,4.0
49,17.0,0.0059,6.0,4.0,0.0027,6.0,4.0,0.0017,6.0,6.0
50,18.0,0.0072,5.0,3.0,0.003,5.0,4.0,0.0018,5.0,4.0
51,19.0,0.0043,3.0,2.0,0.0016,3.0,3.0,0.0009,3.0,4.0
52,20.0,0.0046,3.0,4.0,0.0015,3.0,4.0,0.0008,3.0,4.0
53,21.0,0.006,4.0,4.0,0.0026,4.0,5.0,0.0013,4.0,5.0
54,22.0,0.0055,5.0,3.0,0.0025,5.0,3.0,0.0014,5.0,5.0
55,23.0,0.0042,4.0,2.0,0.0017,4.0,3.0,0.001,4.0,2.0
56,24.0,0.0061,11.0,4.0,0.0028,11.0,4.0,0.0023,11.0,5.0
57,25.0,0.0041,6.0,4.0,0.0019,6.0,4.0,0.0011,6.0,5.0
58,26.0,0.0058,9.0,6.0,0.0029,9.0,7.0,0.0023,9.0,6.0
59,27.0,0.0062,4.0,3.0,0.0022,4.0,3.0,0.001,4.0,4.0
60,28.0,0.005,5.0,4.0,0.0021,5.0,4.0,0.0012,5.0,6.0
61,29.0,0.0051,6.0,4.0,0.0022,6.0,4.0,0.0014,6.0,4.0
62,30.0,0.0082,6.0,5.0,0.0037,6.0,5.0,0.0019,6.0,5.0
63,31.0,0.0067,5.0,3.0,0.0029,5.0,4.0,0.0014,5.0,5.0
64,32.0,0.0042,4.0,3.0,0.0015,4.0,4.0,0.001,4.0,4.0
65,33.0,0.0077,5.0,5.0,0.0029,5.0,5.0,0.001,5.0,5.0
66,1.0,0.0015,3.0,2.0,0.0006,3.0,2.0,0.0003,3.0,2.0
67,2.0,0.0031,3.0,2.0,0.001,3.0,2.0,0.0004,3.0,2.0
68,3.0,0.003,4.0,2.0,0.001,4.0,3.0,0.0007,4.0,2.0
69,4.0,0.0031,5.0,3.0,0.0012,5.0,3.0,0.0007,5.0,3.0
70,5.0,0.0025,3.0,2.0,0.0008,3.0,2.0,0.0004,3.0,2.0
71,6.0,0.0019,3.0,2.0,0.0007,3.0,2.0,0.0004,3.0,2.0
72,7.0,0.0045,5.0,3.0,0.0019,5.0,4.0,0.0008,5.0,3.0
