iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0025,3.0,2.0,0.0007,3.0,3.0,0.0003,3.0,2.0
2.0,0.0014,2.0,2.0,0.0004,2.0,3.0,0.0002,2.0,2.0
3.0,0.0029,3.0,2.0,0.001,3.0,2.0,0.0005,3.0,2.0
4.0,0.0023,2.0,2.0,0.0008,2.0,3.0,0.0003,2.0,2.0
5.0,0.002,4.0,2.0,0.0008,4.0,3.0,0.0005,4.0,2.0
6.0,0.0041,4.0,2.0,0.0018,4.0,3.0,0.0006,4.0,2.0
7.0,0.0027,3.0,2.0,0.001,3.0,2.0,0.0005,3.0,2.0
8.0,0.0041,3.0,2.0,0.0017,3.0,3.0,0.0007,3.0,2.0
9.0,0.0029,3.0,2.0,0.0011,3.0,2.0,0.0005,3.0,2.0
10.0,0.0012,2.0,2.0,0.0004,2.0,2.0,0.0002,2.0,2.0
11.0,0.0022,3.0,2.0,0.0009,3.0,3.0,0.0005,3.0,2.0
12.0,0.0028,3.0,2.0,0.0011,3.0,3.0,0.0004,3.0,2.0
13.0,0.004,4.0,3.0,0.0017,4.0,3.0,0.0007,4.0,3.0
14.0,0.0032,3.0,2.0,0.0013,3.0,2.0,0.0006,3.0,2.0
15.0,0.0023,3.0,2.0,0.0008,3.0,3.0,0.0004,3.0,2.0
16.0,0.002,2.0,2.0,0.0006,2.0,2.0,0.0003,2.0,2.0
17.0,0.0026,3.0,2.0,0.001,3.0,3.0,0.0006,3.0,2.0
18.0,0.0037,3.0,2.0,0.0015,3.0,3.0,0.0005,3.0,2.0
19.0,0.0035,3.0,2.0,0.0014,3.0,3.0,0.0006,3.0,2.0
20.0,0.0022,3.0,2.0,0.0009,3.0,3.0,0.0004,3.0,2.0
21.0,0.0036,4.0,3.0,0.0014,4.0,3.0,0.0007,4.0,3.0
22.0,0.002,3.0,2.0,0.0006,3.0,3.0,0.0003,3.0,2.0
23.0,0.0019,3.0,2.0,0.0006,3.0,3.0,0.0004,3.0,2.0
24.0,0.0022,2.0,2.0,0.0008,2.0,3.0,0.0003,2.0,2.0
25.0,0.0034,3.0,2.0,0.0013,3.0,3.0,0.0005,3.0,2.0
26.0,0.0019,3.0,2.0,0.0007,3.0,2.0,0.0004,3.0,2.0
27.0,0.003,3.0,2.0,0.0013,3.0,2.0,0.0005,3.0,2.0
28.0,0.0025,3.0,2.0,0.0009,3.0,3.0,0.0005,3.0,2.0
29.0,0.0027,4.0,2.0,0.0011,4.0,2.0,0.0007,4.0,2.0
30.0,0.0032,4.0,2.0,0.0013,4.0,3.0,0.0006,4.0,2.0
31.0,0.0025,4.0,2.0,0.001,4.0,2.0,0.0006,4.0,2.0
32.0,0.0017,2.0,2.0,0.0004,2.0,2.0,0.0002,2.0,2.0
33.0,0.0036,3.0,2.0,0.0016,3.0,2.0,0.0006,3.0,2.0
