iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0014,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
2.0,0.001,2.0,2.0,0.0002,2.0,2.0,0.0002,2.0,2.0
3.0,0.0012,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
4.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
5.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
6.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
7.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0002,2.0,2.0
8.0,0.0011,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
9.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
10.0,0.0009,2.0,2.0,0.0003,2.0,2.0,0.0001,2.0,2.0
11.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
12.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
13.0,0.0007,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
14.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
15.0,0.0007,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
16.0,0.0011,2.0,2.0,0.0003,2.0,3.0,0.0002,2.0,2.0
17.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0002,2.0,2.0
18.0,0.001,2.0,2.0,0.0004,2.0,2.0,0.0002,2.0,2.0
19.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
20.0,0.0011,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
21.0,0.0011,2.0,2.0,0.0003,2.0,3.0,0.0002,2.0,2.0
22.0,0.001,2.0,2.0,0.0002,2.0,2.0,0.0002,2.0,2.0
23.0,0.0008,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
24.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
25.0,0.0011,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
26.0,0.001,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
27.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0002,2.0,2.0
28.0,0.0009,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
29.0,0.0011,2.0,2.0,0.0003,2.0,3.0,0.0002,2.0,2.0
30.0,0.0009,2.0,2.0,0.0003,2.0,2.0,0.0002,2.0,2.0
31.0,0.0008,2.0,2.0,0.0002,2.0,2.0,0.0001,2.0,2.0
32.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0002,2.0,2.0
33.0,0.0009,2.0,2.0,0.0002,2.0,2.0,0.0002,2.0,2.0
