iteration_seed,time_opt,eccentricity_opt,total_towers_opt,time_e_sc_mept,eccentricity_e_sc_mept,total_towers_e_sc_mept,time_e_t_mept,eccentricity_e_t_mept,total_towers_e_t_mept
1.0,0.0016,5.0,5.0,0.0005,5.0,5.0,0.0004,5.0,5.0
2.0,0.001,3.0,3.0,0.0003,3.0,3.0,0.0002,3.0,3.0
3.0,0.0013,4.0,6.0,0.0006,4.0,6.0,0.0003,4.0,6.0
4.0,0.0014,5.0,4.0,0.0005,5.0,5.0,0.0004,5.0,4.0
5.0,0.0014,5.0,6.0,0.0005,5.0,7.0,0.0004,5.0,6.0
6.0,0.0012,5.0,5.0,0.0004,5.0,5.0,0.0004,5.0,5.0
7.0,0.0012,5.0,5.0,0.0004,5.0,5.0,0.0003,5.0,5.0
8.0,0.0014,5.0,5.0,0.0005,5.0,5.0,0.0004,5.0,5.0
9.0,0.0013,5.0,5.0,0.0005,5.0,5.0,0.0004,5.0,5.0
10.0,0.0012,5.0,5.0,0.0005,5.0,5.0,0.0003,5.0,5.0
11.0,0.0014,4.0,6.0,0.0006,4.0,6.0,0.0005,4.0,6.0
12.0,0.0014,5.0,6.0,0.0005,5.0,6.0,0.0004,5.0,6.0
13.0,0.0013,5.0,5.0,0.0005,5.0,6.0,0.0004,5.0,5.0
14.0,0.0013,5.0,5.0,0.0006,5.0,5.0,0.0003,5.0,5.0
15.0,0.0011,4.0,4.0,0.0004,4.0,4.0,0.0003,4.0,4.0
16.0,0.0012,4.0,4.0,0.0004,4.0,4.0,0.0003,4.0,4.0
17.0,0.0011,4.0,4.0,0.0004,4.0,5.0,0.0003,4.0,4.0
18.0,0.0011,5.0,4.0,0.0005,5.0,4.0,0.0004,5.0,4.0
19.0,0.0014,5.0,4.0,0.0006,5.0,4.0,0.0004,5.0,4.0
20.0,0.0014,4.0,6.0,0.0005,4.0,6.0,0.0003,4.0,6.0
21.0,0.0012,4.0,5.0,0.0004,4.0,5.0,0.0003,4.0,5.0
22.0,0.0011,5.0,5.0,0.0004,5.0,5.0,0.0005,5.0,5.0
23.0,0.0011,5.0,4.0,0.0004,5.0,4.0,0.0003,5.0,4.0
24.0,0.0012,5.0,4.0,0.0004,5.0,4.0,0.0004,5.0,4.0
25.0,0.0013,5.0,7.0,0.0005,5.0,7.0,0.0004,5.0,7.0
26.0,0.0012,5.0,6.0,0.0004,5.0,6.0,0.0005,5.0,6.0
27.0,0.0015,4.0,6.0,0.0006,4.0,6.0,0.0004,4.0,6.0
28.0,0.0013,5.0,5.0,0.0005,5.0,5.0,0.0004,5.0,5.0
29.0,0.0013,4.0,5.0,0.0005,4.0,5.0,0.0003,4.0,5.0
30.0,0.0014,5.0,4.0,0.0006,5.0,5.0,0.0004,5.0,4.0
31.0,0.0014,4.0,6.0,0.0005,4.0,6.0,0.0004,4.0,6.0
32.0,0.0015,5.0,4.0,0.0005,5.0,4.0,0.0004,5.0,4.0
33.0,0.0012,5.0,5.0,0.0005,5.0,5.0,0.0005,5.0,5.0
